CompanyId,ProjectName,ContractNo,Name,Status,Link,Country
43,"P118979 - VN-Coastal Resources for Sustainable Dev","ICB No.PR.14/VH/PCU","TOYOTA My Dinh Sole Member Company Limited",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00024573,Vietnam
44,"P118979 - VN-Coastal Resources for Sustainable Dev","ICB No.PR.14/VH/PCU","TOYOTA Lang Ha Company Limited",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024573,Vietnam
45,"P118979 - VN-Coastal Resources for Sustainable Dev","ICB No.PR.14/VH/PCU","Tri Lap Company Limited",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024573,Vietnam
46,"P106235 - VN-EXPRESSWAY DEVEL DaNang-QNgai",01/DD-EDDQP/2011,"Joint Venture of Nippon Koei Co. Ltd Nippon Engineering ConsultantsCo. Ltd Chodai Co. Ltd and Thai Engineering Consultants Co. Ltd",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00012377,Vietnam
47,"P106235 - VN-EXPRESSWAY DEVEL DaNang-QNgai",01/DD-EDDQP/2011,"Oriental Consultants in JV with AECOM Asia",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00012377,Vietnam
48,"P106235 - VN-EXPRESSWAY DEVEL DaNang-QNgai",01/DD-EDDQP/2011,"CECI Engineering Consultants Inc",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00012377,Vietnam
49,"P106235 - VN-EXPRESSWAY DEVEL DaNang-QNgai",01/DD-EDDQP/2011,"Egisbceom International",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00012377,Vietnam
50,"P106235 - VN-EXPRESSWAY DEVEL DaNang-QNgai",01/DD-EDDQP/2011,"SMEC International PTY Ltd in JV with HAFICO",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00012377,Vietnam
51,"P106235 - VN-EXPRESSWAY DEVEL DaNang-QNgai",CW4,"Lotte Engineering & Construction Co. Ltd",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00024720,Vietnam
52,"P127319 - LR-Integrated PFM Reform","IPFMRP/ICB/2-LOTS 1-3","UNITED MOTOR COMPANY (Lot 1 2 & 3)",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00022323,Liberia
53,"P127319 - LR-Integrated PFM Reform","IPFMRP/ICB/2-LOTS 1-3","African American Enterprise (Lot 3)",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022323,Liberia
54,"P127319 - LR-Integrated PFM Reform","IPFMRP/ICB/2-LOTS 1-3","Chicri Brothers Incorp. (Lot 3)",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022323,Liberia
55,"P127319 - LR-Integrated PFM Reform","IPFMRP/ICB/2-LOTS 1-3","Reelin Liberia Inc ( Lot 1)",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022323,Liberia
56,"P127319 - LR-Integrated PFM Reform","IPFMRP/ICB/2-LOTS 1-3","Elias Antoune Motors (Lot 1 & 2)",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022323,Liberia
57,"P127319 - LR-Integrated PFM Reform","IPFMRP/ICB/2-LOTS 1-3","GBK Motors Inc (Lot 12 & 3)",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022323,Liberia
58,"P127319 - LR-Integrated PFM Reform","IPFMRP/ICB/2-LOTS 1-3","Lodi Company ( Lot 1 & 2)",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022323,Liberia
59,"P127319 - LR-Integrated PFM Reform","IPFMRP/ICB/2-LOTS 1-3","Prestige Motors Corp. (Lot 1 & 2)",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022323,Liberia
60,"P127319 - LR-Integrated PFM Reform","IPFMRP/ICB/2-LOTS 1-3","RMA Liberia Ltd. (Lot 1 & 2)",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022323,Liberia
61,"P127319 - LR-Integrated PFM Reform","IPFMRP/ICB/2-LOTS 1-3","Africa Motors Liberia Inc. (Lot 12 & 3)",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022323,Liberia
62,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/IT & Office Equipment/03/2013","ACE Intellect JV",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00022826,"Lao People's Democratic Republic"
63,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/IT & Office Equipment/03/2013","Micro Info",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00022826,"Lao People's Democratic Republic"
64,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/IT & Office Equipment/03/2013",Tecotec,evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00022826,"Lao People's Democratic Republic"
65,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/IT & Office Equipment/03/2013","E+E Boss",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022826,"Lao People's Democratic Republic"
66,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/IT & Office Equipment/03/2013","BP Computer",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022826,"Lao People's Democratic Republic"
67,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/IT & Office Equipment/03/2013","SOA Co",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022826,"Lao People's Democratic Republic"
68,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/IT & Office Equipment/03/2013","Inter Computer",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022826,"Lao People's Democratic Republic"
69,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/IT & Office Equipment/03/2013","ACE Intellect JV",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00022818,"Lao People's Democratic Republic"
70,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/IT & Office Equipment/03/2013","Micro Info",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00022818,"Lao People's Democratic Republic"
71,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/IT & Office Equipment/03/2013",Datacom,evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00022818,"Lao People's Democratic Republic"
72,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/IT & Office Equipment/03/2013",Tecotec,evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00022818,"Lao People's Democratic Republic"
73,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/IT & Office Equipment/03/2013","E+E Boss",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022818,"Lao People's Democratic Republic"
74,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/IT & Office Equipment/03/2013","BP Computer",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022818,"Lao People's Democratic Republic"
75,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/NUOL Lab Equipment/03/2011 - 20","CBF Pharma Company Limited",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00022816,"Lao People's Democratic Republic"
76,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/NUOL Lab Equipment/03/2011 - 20","Mahasok Trading Sole Co Ltd",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00022816,"Lao People's Democratic Republic"
83,"P128950 - REAL ESTATE REGISTRATION PROJECT",BA-RERP-51880BA-ICB-BL-G-13-B.1.2,"LADA AUTO",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00024450,"Bosnia and Herzegovina"
84,"P128950 - REAL ESTATE REGISTRATION PROJECT",BA-RERP-51880BA-ICB-BL-G-13-B.2.1.2.1,"Digit d.o.o",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00024584,"Bosnia and Herzegovina"
87,"P128950 - REAL ESTATE REGISTRATION PROJECT",BA-RERP-51880BA-ICB-BL-G-13-B.1.3.1,"GEOWILD d.o.o.",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00025429,"Bosnia and Herzegovina"
77,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/NUOL Lab Equipment/03/2011 - 20","LC Import Export",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022816,"Lao People's Democratic Republic"
78,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/NUOL Lab Equipment/03/2011 - 20","MGS Equipment",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022816,"Lao People's Democratic Republic"
79,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/NUOL Lab Equipment/03/2011 - 20","CBF Pharma Company Limited",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00022815,"Lao People's Democratic Republic"
80,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/NUOL Lab Equipment/03/2011 - 20","Mahasok Trading Sole Co Ltd",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022815,"Lao People's Democratic Republic"
81,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/NUOL Lab Equipment/03/2011 - 20","Lucky Exports",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022815,"Lao People's Democratic Republic"
82,"P109736 - LA -TA for Hydropower and Mining sectors","HMTA/ICB/NUOL Lab Equipment/03/2011 - 20","MGS Equipment",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00022815,"Lao People's Democratic Republic"
85,"P128950 - REAL ESTATE REGISTRATION PROJECT",BA-RERP-51880BA-ICB-BL-G-13-B.2.1.2.1,"Telemax ICT d.o.o",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024584,"Bosnia and Herzegovina"
86,"P128950 - REAL ESTATE REGISTRATION PROJECT",BA-RERP-51880BA-ICB-BL-G-13-B.2.1.2.1,"KING ICT d.o.o.",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024584,"Bosnia and Herzegovina"
88,"P128950 - REAL ESTATE REGISTRATION PROJECT",BA-RERP-51880BA-ICB-BL-G-13-B.1.3.1,"GEOKOM d.o.o.",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00025429,"Bosnia and Herzegovina"
89,"P128950 - REAL ESTATE REGISTRATION PROJECT",BA-RERP-51880BA-ICB-BL-G-13-B.1.3.1,"Trimble Europe BV",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00025429,"Bosnia and Herzegovina"
90,"P118518 - AG COMP",MACP/G/ICB-3.1,"ATC-Agrotehcomert SA",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00023137,Moldova
91,"P118518 - AG COMP",MACP/G/ICB-3.1,"Motor Star SRL",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00023137,Moldova
92,"P118518 - AG COMP",MACP/G/ICB-3.1,"Auto-Prezent SRL",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00023137,Moldova
93,"P118518 - AG COMP",MACP/G/ICB-3.1,"Microcell SRL",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00023137,Moldova
94,"P118518 - AG COMP",MACP/G/ICB-3.1,"Orhei-Lada-Service SRL",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00023137,Moldova
95,"P118518 - AG COMP",MACP/G/ICB-3.1,"East-Auto-Lada SRL",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00023137,Moldova
96,"P118518 - AG COMP",MACP/G/ICB-3.1,"ATC-Agrotehcomert SA",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00023138,Moldova
97,"P118518 - AG COMP",MACP/G/ICB-3.1,"Auto-Prezent SRL",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00023138,Moldova
98,"P118518 - AG COMP",MACP/G/ICB-3.1,"Orhei-Lada-Service SRL",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00023138,Moldova
99,"P118518 - AG COMP",MACP/G/ICB-3.1,"Microcell SRL",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00023138,Moldova
100,"P118518 - AG COMP",MACP/G/ICB-3.1,"East-Auto-Lada SRL",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00023138,Moldova
101,"P118518 - AG COMP",MACP/G/ICB-3.1,"ATC-Agrotehcomert SA",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00023135,Moldova
102,"P118518 - AG COMP",MACP/G/ICB-3.1,"Auto-Prezent SRL",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00023135,Moldova
103,"P118518 - AG COMP",MACP/G/ICB-3.1,"East-Auto-Lada SRL",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00023135,Moldova
104,"P118518 - AG COMP",MACP/G/ICB-3.1,"Eximotor SA",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00023135,Moldova
105,"P118518 - AG COMP",MACP/G/ICB-3.1,"East-Auto-Lada SRL",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00023141,Moldova
106,"P118518 - AG COMP",MACP/G/ICB-3.1,"DAAC-Autosport SRL",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00023140,Moldova
107,"P118518 - AG COMP",MACP/G/ICB-3.1,"Orhei-Lada-Service SRL",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00023139,Moldova
108,"P118518 - AG COMP",MACP/G/ICB-3.1,"Motor Star SRL",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00023139,Moldova
109,"P118518 - AG COMP",MACP/G/ICB-3.1,"East-Auto-Lada SRL",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00023139,Moldova
110,"P127118 - KG READ - Phase II",,"Centre for Educational Assessment andTeaching Methods (CEATM)",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00024099,"Kyrgyz Republic"
111,"P113032 - ET",ICB/AGP/CU-01,"M/S STIRILING CRYOGENICS- Lot 1: Nitrogen Plant",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00018132,Ethiopia
112,"P113032 - ET",ICB/AGP/CU-01,"SUNITA IMPEX PVT.LTD-Lot 1: Nitrogen Plant",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00018132,Ethiopia
113,"P113032 - ET",ICB/AGP/CU-01,"Angereb PLC - Lot 1: Nitrogen Plant",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00018132,Ethiopia
114,"P113032 - ET",ICB/AGP/CU-01,"Farmatech International PLC - Lot 4 laboratory Equipments",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00018136,Ethiopia
115,"P113032 - ET",ICB/AGP/CU-01,"UNIT EXPORT LIMITED - Lot 4 laboratory Equipments",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00018136,Ethiopia
116,"P113032 - ET",ICB/AGP/CU-01,"Lemat S.C - Lot 4 laboratory Equipments",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00018136,Ethiopia
117,"P113032 - ET",ICB/AGP/CU-01,"M/S STIRILING CRYOGENICS Netherlands - Lot 2: Spare Parts",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00018135,Ethiopia
118,"P113032 - ET",AGP/CU/004,"VAN DER PLOEG International BV-Lot 4 Holsteins Friesians Heifers",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00019823,Ethiopia
119,"P113032 - ET",AGP/CU/004,"VAN DER PLOEG International BV- Lot 4 Holsteins Friesians Heifers",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00019823,Ethiopia
120,"P113032 - ET",AGP/CU/004,"Wise Team PLC - Lot 5 - Pure Line Poultry Parent Stocks",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00019824,Ethiopia
121,"P113032 - ET",AGP/CU/004,"Wise Team PLC-Lot 5 Pure Line Poultry Parents Stocks",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00019824,Ethiopia
122,"P122916 - GN",N°2013/567/1/6/1/2/N,"KPMG CORPORATE FINANCE SAS",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00024035,Guinea
123,"P122916 - GN",N°2013/567/1/6/1/2/N,"ERNST et YOUNG",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024035,Guinea
124,"P113032 - ET",ICB/AGP/CU-03,"Maalab Scientific Equipment limited",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
125,"P113032 - ET",ICB/AGP/CU-03,"Maalab Scientific Equipment limited",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
126,"P113032 - ET",ICB/AGP/CU-03,"A.THerto Trading plc",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
127,"P113032 - ET",ICB/AGP/CU-03,"SIORA International",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
128,"P113032 - ET",ICB/AGP/CU-03,"Cosmos international limited",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
129,"P113032 - ET",ICB/AGP/CU-03,"S.P Engineers",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
130,"P113032 - ET",ICB/AGP/CU-03,"Qwerty Trading Enterprise",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
131,"P113032 - ET",ICB/AGP/CU-03,"Sotex International",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
132,"P113032 - ET",ICB/AGP/CU-03,"MM African Tech. Ltd",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
133,"P113032 - ET",ICB/AGP/CU-03,"Wagtech Projects",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
134,"P113032 - ET",ICB/AGP/CU-03,"Lab consult GmbH",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
135,"P113032 - ET",ICB/AGP/CU-03,"ACME Engineering",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
136,"P113032 - ET",ICB/AGP/CU-03,"INKOA SISTEMAS S.L.",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
137,"P113032 - ET",ICB/AGP/CU-03,"F. undutsch GmbH",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
138,"P113032 - ET",ICB/AGP/CU-03,"Beardsell Limited",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00023678,Ethiopia
